DateUTC,CountryCode,Value,Year,Month,Day,Hour,Weekday
2020-01-01 00:00:00,AT,5768.2,2020,1,1,0,2
2020-01-01 01:00:00,AT,5591.9,2020,1,1,1,2
2020-01-01 02:00:00,AT,5319.3,2020,1,1,2,2
2020-01-01 03:00:00,AT,5249.1,2020,1,1,3,2
2020-01-01 04:00:00,AT,5380.8,2020,1,1,4,2
2020-01-01 05:00:00,AT,5487.0,2020,1,1,5,2
2020-01-01 06:00:00,AT,5833.3,2020,1,1,6,2
2020-01-01 07:00:00,AT,6143.7,2020,1,1,7,2
2020-01-01 08:00:00,AT,6408.1,2020,1,1,8,2
2020-01-01 09:00:00,AT,6657.0,2020,1,1,9,2
2020-01-01 10:00:00,AT,6745.7,2020,1,1,10,2
2020-01-01 11:00:00,AT,6699.8,2020,1,1,11,2
2020-01-01 12:00:00,AT,6533.9,2020,1,1,12,2
2020-01-01 13:00:00,AT,6452.4,2020,1,1,13,2
2020-01-01 14:00:00,AT,6531.7,2020,1,1,14,2
2020-01-01 15:00:00,AT,6942.2,2020,1,1,15,2
2020-01-01 16:00:00,AT,7399.0,2020,1,1,16,2
2020-01-01 17:00:00,AT,7427.3,2020,1,1,17,2
2020-01-01 18:00:00,AT,7259.1,2020,1,1,18,2
2020-01-01 19:00:00,AT,6901.0,2020,1,1,19,2
2020-01-01 20:00:00,AT,6538.8,2020,1,1,20,2
2020-01-01 21:00:00,AT,6471.9,2020,1,1,21,2
2020-01-01 22:00:00,AT,6096.3,2020,1,1,22,2
2020-01-01 23:00:00,AT,5808.9,2020,1,1,23,2
2020-01-02 00:00:00,AT,5572.9,2020,1,2,0,3
2020-01-02 01:00:00,AT,5480.5,2020,1,2,1,3
2020-01-02 02:00:00,AT,5405.0,2020,1,2,2,3
2020-01-02 03:00:00,AT,5569.3,2020,1,2,3,3
2020-01-02 04:00:00,AT,6104.7,2020,1,2,4,3
2020-01-02 05:00:00,AT,6904.3,2020,1,2,5,3
2020-01-02 06:00:00,AT,7659.8,2020,1,2,6,3
2020-01-02 07:00:00,AT,8040.0,2020,1,2,7,3
2020-01-02 08:00:00,AT,8235.3,2020,1,2,8,3
2020-01-02 09:00:00,AT,8182.0,2020,1,2,9,3
2020-01-02 10:00:00,AT,8126.3,2020,1,2,10,3
