DateUTC,CountryCode,Value,Year,Month,Day,Hour,Weekday
2020-01-01 00:00:00,BE,8700.4175,2020,1,1,0,2
2020-01-01 01:00:00,BE,8320.2725,2020,1,1,1,2
2020-01-01 02:00:00,BE,8000.68,2020,1,1,2,2
2020-01-01 03:00:00,BE,7795.5275,2020,1,1,3,2
2020-01-01 04:00:00,BE,7783.8225,2020,1,1,4,2
2020-01-01 05:00:00,BE,7846.8575,2020,1,1,5,2
2020-01-01 06:00:00,BE,7752.6875,2020,1,1,6,2
2020-01-01 07:00:00,BE,7895.54,2020,1,1,7,2
2020-01-01 08:00:00,BE,8103.485,2020,1,1,8,2
2020-01-01 09:00:00,BE,8361.9025,2020,1,1,9,2
2020-01-01 10:00:00,BE,8651.0225,2020,1,1,10,2
2020-01-01 11:00:00,BE,8760.5725,2020,1,1,11,2
2020-01-01 12:00:00,BE,8782.3175,2020,1,1,12,2
2020-01-01 13:00:00,BE,8569.1475,2020,1,1,13,2
2020-01-01 14:00:00,BE,8655.3725,2020,1,1,14,2
2020-01-01 15:00:00,BE,8819.335,2020,1,1,15,2
2020-01-01 16:00:00,BE,9389.7575,2020,1,1,16,2
2020-01-01 17:00:00,BE,9490.5125,2020,1,1,17,2
2020-01-01 18:00:00,BE,9335.095,2020,1,1,18,2
2020-01-01 19:00:00,BE,9141.14,2020,1,1,19,2
2020-01-01 20:00:00,BE,8912.37,2020,1,1,20,2
2020-01-01 21:00:00,BE,9169.825,2020,1,1,21,2
2020-01-01 22:00:00,BE,9291.7125,2020,1,1,22,2
2020-01-01 23:00:00,BE,8825.95,2020,1,1,23,2
2020-01-02 00:00:00,BE,8445.0725,2020,1,2,0,3
2020-01-02 01:00:00,BE,8130.5925,2020,1,2,1,3
2020-01-02 02:00:00,BE,7922.865,2020,1,2,2,3
2020-01-02 03:00:00,BE,7907.0475,2020,1,2,3,3
2020-01-02 04:00:00,BE,8169.83,2020,1,2,4,3
2020-01-02 05:00:00,BE,8979.0175,2020,1,2,5,3
2020-01-02 06:00:00,BE,9519.7825,2020,1,2,6,3
2020-01-02 07:00:00,BE,10188.94,2020,1,2,7,3
2020-01-02 08:00:00,BE,10598.87,2020,1,2,8,3
2020-01-02 09:00:00,BE,10855.7525,2020,1,2,9,3
2020-01-02 10:00:00,BE,11185.62,2020,1,2,10,3
