DateUTC,CountryCode,Value,Year,Month,Day,Hour,Weekday
2020-01-01 00:00:00,IT,21542.0,2020,1,1,0,2
2020-01-01 01:00:00,IT,20270.0,2020,1,1,1,2
2020-01-01 02:00:00,IT,19148.0,2020,1,1,2,2
2020-01-01 03:00:00,IT,18618.0,2020,1,1,3,2
2020-01-01 04:00:00,IT,18799.0,2020,1,1,4,2
2020-01-01 05:00:00,IT,19690.0,2020,1,1,5,2
2020-01-01 06:00:00,IT,20272.0,2020,1,1,6,2
2020-01-01 07:00:00,IT,20568.0,2020,1,1,7,2
2020-01-01 08:00:00,IT,21594.0,2020,1,1,8,2
2020-01-01 09:00:00,IT,22784.0,2020,1,1,9,2
2020-01-01 10:00:00,IT,23891.0,2020,1,1,10,2
2020-01-01 11:00:00,IT,24072.0,2020,1,1,11,2
2020-01-01 12:00:00,IT,23117.0,2020,1,1,12,2
2020-01-01 13:00:00,IT,22356.0,2020,1,1,13,2
2020-01-01 14:00:00,IT,22823.0,2020,1,1,14,2
2020-01-01 15:00:00,IT,24162.0,2020,1,1,15,2
2020-01-01 16:00:00,IT,27682.0,2020,1,1,16,2
2020-01-01 17:00:00,IT,28650.0,2020,1,1,17,2
2020-01-01 18:00:00,IT,29097.0,2020,1,1,18,2
2020-01-01 19:00:00,IT,28483.0,2020,1,1,19,2
2020-01-01 20:00:00,IT,27088.0,2020,1,1,20,2
2020-01-01 21:00:00,IT,25114.0,2020,1,1,21,2
2020-01-01 22:00:00,IT,22616.0,2020,1,1,22,2
2020-01-01 23:00:00,IT,20612.0,2020,1,1,23,2
2020-01-02 00:00:00,IT,19118.0,2020,1,2,0,3
2020-01-02 01:00:00,IT,18303.0,2020,1,2,1,3
2020-01-02 02:00:00,IT,18123.0,2020,1,2,2,3
2020-01-02 03:00:00,IT,18522.0,2020,1,2,3,3
2020-01-02 04:00:00,IT,19959.0,2020,1,2,4,3
2020-01-02 05:00:00,IT,23815.0,2020,1,2,5,3
2020-01-02 06:00:00,IT,27942.0,2020,1,2,6,3
2020-01-02 07:00:00,IT,31648.0,2020,1,2,7,3
2020-01-02 08:00:00,IT,33939.0,2020,1,2,8,3
2020-01-02 09:00:00,IT,33887.0,2020,1,2,9,3
2020-01-02 10:00:00,IT,33332.0,2020,1,2,10,3
2020-01-02 11:00:00,IT,32185.0,2020,1,2,11,3
2020-01-02 12:00:00,IT,31511.0,2020,1,2,12,3
2020-01-02 13:00:00,IT,31997.0,2020,1,2,13,3
2020-01-02 14:00:00,IT,32908.0,2020,1,2,14,3
2020-01-02 15:00:00,IT,34360.0,2020,1,2,15,3
2020-01-02 16:00:00,IT,37529.0,2020,1,2,16,3
2020-01-02 17:00:00,IT,37507.0,2020,1,2,17,3
2020-01-02 18:00:00,IT,36910.0,2020,1,2,18,3
2020-01-02 19:00:00,IT,34863.0,2020,1,2,19,3
2020-01-02 20:00:00,IT,32316.0,2020,1,2,20,3
2020-01-02 21:00:00,IT,28975.0,2020,1,2,21,3
2020-01-02 22:00:00,IT,25875.0,2020,1,2,22,3
2020-01-02 23:00:00,IT,22980.0,2020,1,2,23,3
2020-01-03 00:00:00,IT,21201.0,2020,1,3,0,4
2020-01-03 01:00:00,IT,20215.0,2020,1,3,1,4
2020-01-03 02:00:00,IT,19894.0,2020,1,3,2,4
2020-01-03 03:00:00,IT,20173.0,2020,1,3,3,4
2020-01-03 04:00:00,IT,21387.0,2020,1,3,4,4
2020-01-03 05:00:00,IT,25208.0,2020,1,3,5,4
2020-01-03 06:00:00,IT,29472.0,2020,1,3,6,4
2020-01-03 07:00:00,IT,33128.0,2020,1,3,7,4
2020-01-03 08:00:00,IT,35262.0,2020,1,3,8,4
2020-01-03 09:00:00,IT,35206.0,2020,1,3,9,4
